,date,state,fips,cases,deaths,New Cases,New Deaths,population
13792,2020-08-11,Pennsylvania,42,0.009752113792362111,0.0005773554546873052,6.17592544722239e-05,2.027450273078057e-06,12823989
13793,2020-08-12,Pennsylvania,42,0.009822606678779901,0.0005807085455235496,7.049288641779091e-05,3.353090836244479e-06,12823989
13794,2020-08-13,Pennsylvania,42,0.009899415852586899,0.0005828139746532846,7.680917380699563e-05,2.1054291297349056e-06,12823989
13795,2020-08-14,Pennsylvania,42,0.009963670430472141,0.0005858551500629016,6.425457788524303e-05,3.0411754096170858e-06,12823989
13796,2020-08-15,Pennsylvania,42,0.010022700424961376,0.0005867908963427839,5.90299944892342e-05,9.357462798821802e-07,12823989
13797,2020-08-16,Pennsylvania,42,0.010065120922982701,0.0005873367483393817,4.2420498021325504e-05,5.458519965979384e-07,12823989
13798,2020-08-17,Pennsylvania,42,0.010112766004400035,0.0005875706849093523,4.764508141733434e-05,2.3393656997054505e-07,12823989
13799,2020-08-18,Pennsylvania,42,0.010159553318394144,0.0005895981351824303,4.678731399410901e-05,2.027450273078057e-06,12823989
13800,2020-08-19,Pennsylvania,42,0.010211331279214291,0.0005920934585954495,5.1777960820147303e-05,2.4953234130191474e-06,12823989
13801,2020-08-20,Pennsylvania,42,0.010272622660546574,0.0005931071837319886,6.12913813322828e-05,1.0137251365390285e-06,12823989
13802,2020-08-21,Pennsylvania,42,0.010329157331622789,0.0005949006974350961,5.6534671076215056e-05,1.793513703107512e-06,12823989
13803,2020-08-22,Pennsylvania,42,0.010383664552425927,0.0005959924014282919,5.4507220803136996e-05,1.0917039931958768e-06,12823989
13804,2020-08-23,Pennsylvania,42,0.010424135579030831,0.0005959924014282919,4.0471026604904294e-05,0.0,12823989
13805,2020-08-24,Pennsylvania,42,0.010468349590755264,0.000595914422571635,4.4214011724433016e-05,-7.797885665684836e-08,12823989
13806,2020-08-25,Pennsylvania,42,0.010511783813913128,0.0005977859151313995,4.3434223157864534e-05,1.8714925597643604e-06,12823989
13807,2020-08-26,Pennsylvania,42,0.010552332819374689,0.0005997353865478207,4.054900546156114e-05,1.9494714164212085e-06,12823989
13808,2020-08-27,Pennsylvania,42,0.010601849393351789,0.0006005931539710459,4.9516573977098704e-05,8.577674232253318e-07,12823989
13809,2020-08-28,Pennsylvania,42,0.010669379083216619,0.000602152731104183,6.752968986483068e-05,1.559577133136967e-06,12823989
13810,2020-08-29,Pennsylvania,42,0.010728019183422569,0.0006035563505240062,5.864010020594996e-05,1.4036194198232703e-06,12823989
13811,2020-08-30,Pennsylvania,42,0.01077176532200706,0.00060371230823732,4.374613858449192e-05,1.559577133136967e-07,12823989
13812,2020-08-31,Pennsylvania,42,0.010826584458236825,0.0006037902870939767,5.481913622976439e-05,7.797885665684836e-08,12823989
13813,2020-09-01,Pennsylvania,42,0.010885146579586117,0.0006054278430837706,5.856212134929311e-05,1.6375559897938153e-06,12823989
13814,2020-09-02,Pennsylvania,42,0.01096203373224977,0.0006076112510701624,7.688715266365247e-05,2.1834079863917537e-06,12823989
13815,2020-09-03,Pennsylvania,42,0.011040090567763276,0.0006086249762067014,7.80568355135052e-05,1.0137251365390285e-06,12823989
13816,2020-09-04,Pennsylvania,42,0.011114872291297193,0.000609872637913211,7.478172353391757e-05,1.2476617065095737e-06,12823989
13817,2020-09-05,Pennsylvania,42,0.011174448137783025,0.0006111202996197205,5.957584648583214e-05,1.2476617065095737e-06,12823989
13818,2020-09-06,Pennsylvania,42,0.011221313430633791,0.0006111202996197205,4.686529285076586e-05,0.0,12823989
13819,2020-09-07,Pennsylvania,42,0.011280265446266369,0.0006125239190395438,5.895201563257735e-05,1.4036194198232703e-06,12823989
13820,2020-09-08,Pennsylvania,42,0.011321828176864468,0.0006130697710361417,4.156273059810017e-05,5.458519965979384e-07,12823989
13821,2020-09-09,Pennsylvania,42,0.011389435845585957,0.0006146293481692787,6.760766872148752e-05,1.559577133136967e-06,12823989
13822,2020-09-10,Pennsylvania,42,0.011442227531542642,0.0006155650944491608,5.279168595668633e-05,9.357462798821802e-07,12823989
13823,2020-09-11,Pennsylvania,42,0.011520908197909402,0.0006171246715822978,7.868066636675999e-05,1.559577133136967e-06,12823989
13824,2020-09-12,Pennsylvania,42,0.011590387359190654,0.0006172026504389547,6.947916128125188e-05,7.797885665684836e-08,12823989
13825,2020-09-13,Pennsylvania,42,0.011590387359190654,0.0006172026504389547,0.0,0.0,12823989
13826,2020-09-14,Pennsylvania,42,0.011700259568220154,0.0006191521218553759,0.00010987220902949932,1.9494714164212085e-06,12823989
13827,2020-09-15,Pennsylvania,42,0.011781123642573305,0.0006195420161386601,8.086407435315173e-05,3.8989428328424174e-07,12823989
13828,2020-09-16,Pennsylvania,42,0.011844130558752039,0.0006209456355584834,6.300691617873346e-05,1.4036194198232703e-06,12823989
13829,2020-09-17,Pennsylvania,42,0.011916183022302967,0.0006221153184083362,7.205246355092787e-05,1.1696828498527252e-06,12823989
13830,2020-09-18,Pennsylvania,42,0.011974433228225632,0.0006242987263947279,5.825020592266572e-05,2.1834079863917537e-06,12823989
13831,2020-09-19,Pennsylvania,42,0.012029096406742084,0.0006260142612411786,5.4663178516450694e-05,1.7155348464506636e-06,12823989
13832,2020-09-20,Pennsylvania,42,0.012080796388705574,0.0006276518172309724,5.1699981963490455e-05,1.6375559897938153e-06,12823989
13833,2020-09-21,Pennsylvania,42,0.012143569368314337,0.0006300691617873346,6.277297960876292e-05,2.417344556362299e-06,12823989
13834,2020-09-22,Pennsylvania,42,0.012204626813076649,0.0006315507600638148,6.105744476231226e-05,1.4815982764801186e-06,12823989
13835,2020-09-23,Pennsylvania,42,0.012271766608658195,0.000634513956616775,6.713979558154642e-05,2.9631965529602373e-06,12823989
13836,2020-09-24,Pennsylvania,42,0.012337892679103202,0.0006355276817533141,6.61260704450074e-05,1.0137251365390285e-06,12823989
13837,2020-09-25,Pennsylvania,42,0.012402615130128386,0.000636073533749912,6.472245102518413e-05,5.458519965979384e-07,12823989
13838,2020-09-26,Pennsylvania,42,0.012471704397126354,0.0006376331108830489,6.908926699796764e-05,1.559577133136967e-06,12823989
13839,2020-09-27,Pennsylvania,42,0.01253666078472151,0.0006378670474530195,6.495638759515468e-05,2.3393656997054505e-07,12823989
13840,2020-09-28,Pennsylvania,42,0.012604658347726281,0.0006379450263096763,6.799756300477176e-05,7.797885665684836e-08,12823989
13841,2020-09-29,Pennsylvania,42,0.01272763100467413,0.000639114709159529,0.00012297265694784985,1.1696828498527252e-06,12823989
13842,2020-09-30,Pennsylvania,42,0.012799059637371804,0.000640674286292666,7.142863269767308e-05,1.559577133136967e-06,12823989
13843,2020-10-01,Pennsylvania,42,0.012872593699199212,0.0006420779057124893,7.3534061827408e-05,1.4036194198232703e-06,12823989
13844,2020-10-02,Pennsylvania,42,0.012965544496334174,0.0006436374828456263,9.295079713496323e-05,1.559577133136967e-06,12823989
13845,2020-10-03,Pennsylvania,42,0.012965544496334174,0.0006449631234087927,0.0,1.325640563166422e-06,12823989
13846,2020-10-04,Pennsylvania,42,0.013113002514272274,0.0006462107851153022,0.00014745801793810022,1.2476617065095737e-06,12823989
13847,2020-10-05,Pennsylvania,42,0.013188252110946133,0.0006472245102518413,7.524959667385866e-05,1.0137251365390285e-06,12823989
13848,2020-10-06,Pennsylvania,42,0.013276290240111715,0.0006486281296716645,8.803812916558178e-05,1.4036194198232703e-06,12823989
13849,2020-10-07,Pennsylvania,42,0.013377272859482335,0.0006508895165147131,0.00010098261937061861,2.261386843048602e-06,12823989
13850,2020-10-08,Pennsylvania,42,0.013488080814791716,0.0006528389879311343,0.0001108079553093815,1.9494714164212085e-06,12823989
13851,2020-10-09,Pennsylvania,42,0.013595769615834823,0.0006540086707809872,0.00010768880104310757,1.1696828498527252e-06,12823989
13852,2020-10-10,Pennsylvania,42,0.013708994915700568,0.00065665995190732,0.00011322529986574381,2.651281126332844e-06,12823989
13853,2020-10-11,Pennsylvania,42,0.013788221434063925,0.0006570498461906042,7.922651836335792e-05,3.8989428328424174e-07,12823989
13854,2020-10-12,Pennsylvania,42,0.013868071783280539,0.0006584534656104274,7.985034921661272e-05,1.4036194198232703e-06,12823989
13855,2020-10-13,Pennsylvania,42,0.014010695112105913,0.0006595451696036233,0.00014262332882537563,1.0917039931958768e-06,12823989
13856,2020-10-14,Pennsylvania,42,0.01411074198519665,0.0006613386833067309,0.00010004687309073644,1.793513703107512e-06,12823989
13857,2020-10-15,Pennsylvania,42,0.014231297297588137,0.0006625083661565836,0.00012055531239148754,1.1696828498527252e-06,12823989
13858,2020-10-16,Pennsylvania,42,0.014362535713341612,0.0006646917741429753,0.00013123841575347577,2.1834079863917537e-06,12823989
13859,2020-10-17,Pennsylvania,42,0.014478334315477032,0.0006655495415662006,0.0001157986021354198,8.577674232253318e-07,12823989
