,date,state,aggravated-assault,arson,burglary,homicide,larceny,motor-vehicle-theft,property-crime,rape,robbery,violent-crime,population
83,2000,North Dakota,0.0002780580426302702,7.812106911993305e-05,0.0020126105942762412,3.972257751861003e-06,0.010897227099272018,0.0010380833591530087,0.014026042121821201,0.00023701137919437316,5.561160852605404e-05,0.0005746532881025584,755238
84,2001,North Dakota,0.00026216901162282616,0.0001244640762249781,0.0020364441407874074,1.0592687338296007e-05,0.011396407490089216,0.0010976672254309238,0.014654982932532526,0.00022906686369065116,6.0907952195202045e-05,0.0005627365148469754,755238
85,2002,North Dakota,0.0002754098707956962,0.00010195461563109907,0.0022615387467261974,2.6481718345740016e-06,0.011728753055328254,0.0010870745380926277,0.015179320955778178,0.00022906686369065116,4.8991178939619035e-05,0.0005561160852605404,755238
86,2003,North Dakota,0.0003018915891414362,8.606558462365507e-05,0.0019291931814871604,7.944515503722006e-06,0.010548992503025536,0.0011347416311149599,0.013698992900251311,0.00022112234818692916,4.5018921187758034e-05,0.0005759773740198453,755238
87,2004,North Dakota,0.00036941997092307323,8.871375645822907e-05,0.0023237707848386864,9.268601421009006e-06,0.011281212015285248,0.0011162044282729418,0.014809900984855105,0.0002476040665326692,4.5018921187758034e-05,0.0006713115600645095,755238
88,2005,North Dakota,0.0005349307105839483,9.136192829280307e-05,0.00234892841726714,1.456494509015701e-05,0.011662548759463903,0.0013730770962266199,0.015475916201250467,0.0002687894412092612,6.223203811248905e-05,0.0008805171349958556,755238
89,2006,North Dakota,0.0006752838178163704,0.0001271122480595521,0.00273291333328037,9.268601421009006e-06,0.011228248578593768,0.0012883355975202519,0.015376609757453941,0.0003164565342315932,9.136192829280307e-05,0.0010923708817617759,755238
90,2007,North Dakota,0.0008129887532142186,0.00011387138888668207,0.002605801085220818,1.588903100744401e-05,0.011120997619293521,0.0011493065762051167,0.014989976669606138,0.00032042879198345423,8.871375645822907e-05,0.001238020332663346,755238
91,2008,North Dakota,0.0009851199224615286,0.00011651956072125608,0.002630958717649271,2.6481718345740016e-06,0.0119379586302596,0.0011162044282729418,0.01580164133690307,0.0003800126582613693,9.533418604466407e-05,0.001463114938602136,755238
92,2009,North Dakota,0.0010168979844764167,9.401010012737707e-05,0.002845460636249765,1.1916773255583009e-05,0.01159369629176498,0.001153278833956978,0.0156864458620991,0.0003482345962464812,0.0001363808494805611,0.001513430203459042,755238
93,2010,North Dakota,0.0011016394831827848,8.076924095450705e-05,0.0023423079876807047,1.0592687338296007e-05,0.011667845103133052,0.0010102775548899818,0.015101199886658246,0.0003429382525773332,0.00011254730296939507,0.0015677177260678091,755238
94,2011,North Dakota,0.001362484408888324,9.136192829280307e-05,0.002773959996716267,1.7213116924731012e-05,0.01275491964122568,0.0012062422706484578,0.01682648383688321,0.00033102147932175023,0.00012049181847311709,0.0018312108236079223,755238
95,2012,North Dakota,0.001427364618835387,0.00010592687338296007,0.002928878049038846,1.8537202842018012e-05,0.014057820183836089,0.001464439024519423,0.018557064130777318,0.0004011980329379613,0.0001549180523225791,0.0020020179069379453,755238
96,2013,North Dakota,0.001534615578135634,0.00010989913113482107,0.0033592059721571214,1.456494509015701e-05,0.014282914789774878,0.0017398488953151191,0.019491868788381942,0.00040517029068982226,0.00019993697351033713,0.0021542877874259504,755238
97,2014,North Dakota,0.001534615578135634,0.00011651956072125608,0.0032095842635036904,1.9861288759305013e-05,0.015265386540401833,0.0019993697351033714,0.02059086009973015,0.0004501892118775803,0.00022244643410421615,0.0022271125128767357,755238
98,2015,North Dakota,0.0015822826711579662,8.738967054094207e-05,0.003858386362974321,2.2509460593879017e-05,0.017093949192175183,0.0023542247609362878,0.023393949986626732,0.00048196727389246836,0.00020788148901405916,0.0022946408946583727,755238
