date,state,aggravated-assault,arson,burglary,homicide,larceny,motor-vehicle-theft,property-crime,rape,robbery,violent-crime
2003,Vermont,486.0,85.0,2787.0,15.0,9110.0,642.0,12624.0,127.0,61.0,689.0
2003,West Virginia,3114.0,583.0,9044.0,65.0,25155.0,3050.0,37832.0,494.0,617.0,4290.0
2004,Arkansas,4879.0,335.0,15190.0,75.0,38663.0,3120.0,57308.0,758.0,876.0,6588.0
2004,Arizona,135.0,14.0,492.0,,1139.0,191.0,1836.0,14.0,15.0,164.0
2004,Colorado,5736.0,666.0,15822.0,75.0,66457.0,11480.0,94425.0,1408.0,1570.0,8789.0
2004,Connecticut,1664.0,259.0,6047.0,39.0,27382.0,3491.0,37179.0,430.0,1107.0,3240.0
2004,DC,105.0,,1.0,,797.0,297.0,1095.0,6.0,145.0,256.0
2004,Delaware,3460.0,366.0,5803.0,28.0,20165.0,2231.0,28565.0,421.0,1350.0,5259.0
2004,Georgia,73.0,2.0,166.0,2.0,393.0,158.0,719.0,6.0,69.0,150.0
2004,Iowa,6341.0,635.0,17237.0,44.0,61591.0,5656.0,85119.0,959.0,1140.0,8484.0
2004,Idaho,2593.0,306.0,7424.0,31.0,28728.0,2781.0,39239.0,781.0,242.0,3647.0
2004,Illinois,1.0,,5.0,1.0,2.0,1.0,8.0,2.0,,4.0
2004,Kansas,5586.0,794.0,14478.0,75.0,57026.0,4745.0,77043.0,1090.0,1086.0,7837.0
2004,Kentucky,507.0,37.0,1517.0,18.0,6341.0,448.0,8343.0,136.0,122.0,783.0
2004,Louisiana,1890.0,41.0,2099.0,21.0,7788.0,945.0,10873.0,146.0,138.0,2195.0
2004,Massachusetts,12703.0,595.0,22342.0,89.0,65423.0,12272.0,100632.0,1458.0,3429.0,17679.0
2004,Maine,5.0,3.0,103.0,,419.0,29.0,554.0,5.0,3.0,13.0
2004,Michigan,22075.0,1958.0,49309.0,245.0,170997.0,25098.0,247362.0,6883.0,5652.0,34855.0
2004,North Dakota,279.0,67.0,1755.0,7.0,8520.0,843.0,11185.0,187.0,34.0,507.0
